label	x	y	z	classes	class_prob	sphere_scale	sphere_rotation	r	g	b
289	-143.87442455401788	-4002.4046331541517	-57.69133385229464	[17, 17, 17, 18, 19]	[0.7253482838700511, 0.15596798098592538, 0.11211537755128624, 0.0030845699020450967, 0.0018498599400025369]	[25.807226468846743, 26.982063203455876, 28.715770739460506]	[-1.5758842916870386, -0.035482443207214144, 1.9535318143381823]	255	255	255
297	-1427.118011409048	-3952.8728471590925	-55.260192920064526	[17, 17, 17, 20, 26]	[0.9501004795659801, 0.023760142590269765, 0.013453359107600479, 0.004115775491033406, 0.0068075277282279535]	[26.796498934615244, 26.254247948351363, 27.942978458183305]	[1.5707963267948966, 0.0, -0.5897737620630271]	255	255	255
300	-30.310095057683156	-3964.936254013165	-59.6394755279877	[17, 17, 17, 17]	[0.7451471396614072, 0.001761736968667024, 0.10261702642926121, 0.15046963092595522]	[29.128643862819118, 27.138587688972358, 26.176555880773435]	[0.006692414738266494, -0.03500743280514014, 1.2923868519201964]	255	255	255
306	3180.587615104952	-3956.7394183409033	-57.57799571388312	[17, 17, 17]	[0.6104503673460221, 0.3744303673545449, 0.015096371542513311]	[31.614448305172232, 24.966029681329395, 28.644729828183014]	[1.5707963267948966, 0.0, -0.21390682716359716]	255	255	255
325	3194.5447123108447	-3913.9517393627602	-51.76903478162968	[17, 17, 17, 17, 17, 17, 26]	[0.746256551257211, 0.04396131393523897, 0.028013573074107245, 0.05256570792586906, 0.0012755772534625343, 0.10618482224037683, 0.020110640534458615]	[26.088578324349342, 26.99788443222777, 27.955095113016284]	[0.5240443850142932, 0.07067860811561759, -1.7079448829332806]	255	255	255
340	-316.35328954843953	-3874.244568902519	-54.94202444201047	[17, 17, 17]	[0.9028937299064905, 0.05448045673390018, 0.041660872007969404]	[26.39184163634671, 27.14504259130552, 29.261174815955044]	[-1.8555084862703968, -0.0305779638287093, 1.9199398841615356]	255	255	255
344	2978.8908150828233	-3868.3687487584216	-43.33396094150035	[17, 17, 17, 11, 17, 17]	[0.8111374645693146, 0.15546825870556535, 0.026422295580983125, 0.0024139259001543767, 0.0012378975118722858, 0.0026475688161278913]	[27.251547327495803, 27.458533488133597, 28.8075135258174]	[0.0, 0.0, 0.0]	255	255	255
345	-573.5321341411845	-3872.843976045911	-48.662647648365535	[17, 17, 17]	[0.8125076081781923, 0.17064164717911715, 0.016788988050099162]	[26.246441498862538, 28.137546274421435, 27.798412452578106]	[-1.5201716251192272, 0.10835329060805074, 1.9265235497448354]	255	255	255
348	2714.266193160855	-3864.234049221005	-58.42840839918727	[17, 17, 17]	[0.7283929128633077, 0.25966425328050335, 0.011903166044373595]	[28.712074967841442, 26.913424651746922, 24.767211081677576]	[-0.12271430099033473, -0.18509850576135684, 1.1862500345061087]	255	255	255
355	3024.8608642362783	-3864.5321779015903	-53.14757252690228	[17, 17, 17]	[0.5622051649854355, 0.33529106520364593, 0.10215356663920087]	[27.528241797887414, 26.3435241705239, 26.185804169690968]	[-0.7322882457841644, 0.2565545233327161, -1.5337366543517992]	255	255	255
373	3086.7497247826363	-3793.6093498332543	-51.95526853258223	[17, 17, 17, 17]	[0.5863715099568599, 0.00121509792428783, 0.24815336393651263, 0.16279063177011668]	[28.882616138994617, 25.954875719946873, 26.118691494022883]	[0.0, 1.5707963267948966, 0.0]	255	255	255
376	-256.624777606276	-3803.4219088261216	-55.354748699529466	[17, 17, 17, 17, 17, 26]	[0.8827125331947657, 0.0026233164127732146, 0.04275481828584093, 0.045464086915189154, 0.01125884435204153, 0.014396390130916563]	[27.61351112080954, 27.79914782692491, 25.96009241956727]	[0.0, 0.0, -2.7485757407400517]	255	255	255
377	2484.7434386338577	-3791.3770277836124	-49.781609889387056	[17, 17, 17, 17, 17, 20, 20, 21, 17]	[0.48829493518917066, 0.09500557633078681, 0.003010428768047817, 0.06795977677017626, 0.0039879062869207105, 0.3016436634932094, 0.004633981518679081, 0.0012004024720837165, 0.03370277597260839]	[26.314552444480206, 27.569081265659293, 28.501069821176245]	[-1.7677223998424456, -0.04427870691898963, 1.7536976575992071]	255	255	255
379	2176.238200210622	-3717.915792489312	-56.44365116718873	[17, 17, 17, 17]	[0.7791392101979727, 0.0028571958284450936, 0.07227261697353138, 0.14569153843556634]	[26.017233778152963, 29.40096281780165, 25.574068066917775]	[0.0, 0.0, -2.9600897202659398]	255	255	255
393	2469.977885423343	-3694.254035400884	-49.88762136907042	[17, 17, 17, 20, 17]	[0.9689033195936314, 0.02222613938570488, 0.0038619335136954266, 0.0030804018111579255, 0.001251447459547666]	[28.53990932796704, 26.174994170818056, 26.975899262680993]	[-0.5346799637009485, -0.05234591084647045, 1.474552246594985]	255	255	255
401	-1278.707242874053	-3733.987627597816	-58.21111984662202	[17, 17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.5242820166543332, 0.02180382849647376, 0.002843492168941278, 0.03125231252815859, 0.001376026329078141, 0.016811770594098174, 0.002656881025719854, 0.0015069807947503682, 0.2184143149012604, 0.17850800244402476]	[27.571777766525997, 26.151864584840656, 26.570640683972094]	[0.0, 0.0, -0.3384014876008382]	255	255	255
410	3279.014225273679	-3713.1219990686964	-57.324556370170825	[17, 17, 17]	[0.74867471301836, 0.24462346788599854, 0.006654090881835442]	[31.287555767154245, 29.04634078558508, 25.322639667842424]	[-0.0839695211970133, 0.015049162358295837, -0.4782839178913701]	255	255	255
411	-828.420402646741	-3694.317139598372	-56.3234535990402	[17, 17, 17, 17, 17, 17, 26]	[0.68938833683114, 0.029113208023964016, 0.019432107391455723, 0.007986462019638851, 0.020006909920517575, 0.03564828602654925, 0.19670530107857995]	[26.813018541632104, 26.087289806389887, 26.039907166378704]	[0.0, 0.0, -0.3892100647220703]	255	255	255
414	2210.626599450656	-3667.800816782237	-27.150820962869474	[17, 17, 17]	[0.8096446503653387, 0.11097937145553996, 0.07836668536238081]	[26.224907043309027, 28.8913702567026, 29.13925782146496]	[0.23485132194212996, 0.1467901488154339, 2.8515593095108343]	255	255	255
416	-1302.9121089856521	-3680.695972475244	-53.16394738243082	[17, 17, 17, 17, 17, 17, 26]	[0.8771690045027004, 0.026760703069501287, 0.01597558090456261, 0.008025685219399899, 0.007588741538440237, 0.025001000045863416, 0.038024751622943755]	[26.395880842142418, 26.749305996961883, 27.056702478220032]	[1.5707963267948966, 0.0, -3.098249856717105]	255	255	255
424	3885.2468721827104	-3641.4885732800017	-46.87803378223205	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.8220709385677872, 0.020171591444916835, 0.010042289384596266, 0.009916595296053935, 0.0880644949033313, 0.0023975096282398078, 0.0010653861293160472, 0.037602525342589344, 0.00808202378749515]	[25.804609623211107, 26.59995835615563, 26.543653437308052]	[0.0, 1.5707963267948966, 0.0]	255	255	255
434	-840.7169170708321	-3605.739741521438	-54.94380996769922	[17, 17, 17, 17, 17, 17, 17, 26]	[0.7226502022901892, 0.03373174117879805, 0.005956776103001774, 0.13185039511601074, 0.0016506515851135999, 0.010474941294435311, 0.09096928310431293, 0.0013289542196723257]	[25.678982529086575, 26.346443607319635, 26.257854475390463]	[0.0, 0.0, 0.0]	255	255	255
435	2933.881026007422	-3601.6591671656633	-45.89125156813498	[17, 17, 17, 17, 17, 17]	[0.928410972366259, 0.01421626267229212, 0.037604826165897665, 0.0019103882989695371, 0.001121124040612969, 0.015703590463694402]	[26.775343308805194, 25.834260373236948, 26.513772511621113]	[0.0, 1.5707963267948966, 0.0]	255	255	255
443	-716.190686826285	-3597.656115019353	-50.624180865569336	[17, 17, 17, 20, 17]	[0.9581276414900677, 0.033680537271105135, 0.0023008822809306626, 0.0024482009528038018, 0.0026906058033409953]	[27.492954476697353, 26.543579719181466, 26.75128073190558]	[-0.2341282653399835, -0.1729861934766455, 0.2616875903285616]	255	255	255
447	-230.0489574762314	-3563.8693578745897	-61.91210766451498	[17, 17, 17, 17, 17, 20, 17, 26]	[0.8726044844983936, 0.03526881409158918, 0.0020213501392711314, 0.011508340644383701, 0.0016349123765835578, 0.0021369514314071845, 0.038595789312998195, 0.03588702322790397]	[27.857521070884793, 26.93966073040081, 26.141005014910572]	[-0.046917247210848105, -0.010510191103482652, 1.327972467150678]	255	255	255
449	-498.309906876259	-3572.5641034553764	-57.911150283774816	[17, 17, 17, 17, 20, 17, 26]	[0.91000029275645, 0.011807261969465615, 0.0011208438875910602, 0.012400530138001908, 0.008981492139223007, 0.050814266514455454, 0.004115988318215348]	[26.588658582439813, 25.54797388735163, 26.313598631173658]	[1.5707963267948966, 0.0, -0.41420176739164205]	255	255	255
450	81.55315087424106	-3558.8914360521567	-45.292808738031276	[17, 17, 17, 17]	[0.4800128243243544, 0.005274950761186958, 0.26400192660309896, 0.2506803108838885]	[27.33074261478869, 26.247956014633253, 26.373996195306063]	[0.0, 0.0, 0.0]	255	255	255
451	2564.644545676592	-3547.0426851111874	-51.862374561025234	[17, 17, 17]	[0.8408973621625456, 0.15466602480198988, 0.004421489981295425]	[25.614277111861085, 31.781732387327885, 28.79027350109959]	[0.0, 1.5707963267948966, 0.0]	255	255	255
460	-1299.737558999655	-3507.745467075296	-24.41385438902462	[17, 17, 17, 17, 17, 17, 17, 17]	[0.8563565539714095, 0.04920115740963413, 0.047428383824333537, 0.014180838428736376, 0.001178268479156272, 0.006128752587745714, 0.00357943346862983, 0.019571976756331464]	[26.772644083559506, 26.012424229759457, 25.708673763089344]	[-1.1104072583726063, 0.2599056074172678, 1.2690385594130569]	255	255	255
461	2136.756714730083	-3517.2582084442683	-59.64413429270644	[17, 17, 17, 20]	[0.8672273754503866, 0.09101885594802926, 0.0016344187808814059, 0.03964220966456496]	[29.12942943043594, 27.128288751164927, 25.95813492562285]	[-0.053175227902241655, 0.028382951564980344, -1.102140988582767]	255	255	255
464	-910.8779669985965	-3515.8677183235677	-48.15954620995342	[17, 17, 17]	[0.9011529661331883, 0.030263192468720904, 0.06783160881884671]	[29.025283099913345, 26.997821256400204, 25.90304238639196]	[-0.8031603465495329, -0.40962760842895357, -1.8148972409568682]	255	255	255
465	-10.428177274054633	-3488.2408567071375	-54.13777273934735	[17, 17, 17, 17, 20, 17]	[0.8550958610123863, 0.0020351423579172442, 0.005105145625993567, 0.0015222297445101928, 0.1292585646079286, 0.0060821261426610655]	[26.80163670780518, 26.481819096660328, 26.90458430407152]	[0.0, 0.0, 0.0]	255	255	255
467	-458.26457520365375	-3503.77647989877	-61.09426626352651	[17, 17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.5157191967452074, 0.016618847828450606, 0.0012173318588746616, 0.04851612878451684, 0.0013648715101277954, 0.004491016038268368, 0.005968142879967088, 0.07202577949640457, 0.11831832878355647, 0.21403984339047571]	[25.84835982529838, 26.37732858524367, 25.26064273653401]	[0.0, 0.0, 0.0]	255	255	255
