label	x	y	z	classes	class_prob	sphere_scale	sphere_rotation	r	g	b
39246	-2572.4805143636754	2200.847039857649	16.03376445275876	[17, 17, 17]	[0.3919790354725229, 0.6018695955986353, 0.004954510588248507]	[30.64933416889391, 25.48947371231739, 25.95823970218583]	[-0.07932399391703138, -0.03706701642577702, 0.14139080880799584]	255	255	255
39283	-1773.2849726458453	2765.3260876694494	48.81081954507572	[17, 17, 17, 17]	[0.09751587507364079, 0.002264044672294152, 0.563677183165204, 0.3365404274816332]	[32.29843670248738, 26.988455015573756, 30.020044496284825]	[1.5707963267948966, 0.0, -0.24886149290746612]	255	255	255
39306	2369.4870079798006	3090.756087863383	40.05173261317866	[17, 17, 17]	[0.01862880476766632, 0.8763338149856457, 0.10350507391419123]	[25.449074656204694, 27.10629387317411, 29.095952414377702]	[-1.8894460344933186, -0.06908758049903023, 1.877379447835739]	255	255	255
39310	-3403.9336642534895	3139.0876396082685	48.74306049128883	[17, 17, 17]	[0.06396947745428708, 0.8436111108871632, 0.09235887669552197]	[25.329976020864024, 28.86367108379541, 28.156817100736113]	[1.5707963267948966, 0.0, -2.3937026705331284]	255	255	255
39406	-2068.673173181537	-3801.7977643560343	44.01026604520392	[17, 17, 17, 17]	[0.1181399310840827, 0.7162216307012632, 0.0751394007415557, 0.08864836283044722]	[34.734463906315234, 25.751158231107667, 28.13584239980512]	[1.5707963267948966, 0.0, -0.39066718896707237]	255	255	255
39410	2369.958159182053	-3699.2362429775367	49.149999319593306	[17, 17, 17]	[0.28006025990443917, 0.7051415702897881, 0.014755032210206393]	[31.03769446756857, 27.97199420211295, 25.860732220524604]	[0.0, 0.0, -0.38187979138145534]	255	255	255
39415	3751.398135531977	-3625.496152401821	71.18739254630934	[17, 17, 17]	[0.07712297540634641, 0.6137240826881959, 0.30878649069211433]	[27.16388048365964, 29.617917557708495, 29.385377762837017]	[0.0, 1.5707963267948966, 0.0]	255	255	255
39442	1647.1106177787765	-3254.976882266151	-25.475024739964056	[17, 17, 17]	[0.27424119786429346, 0.6792116125399453, 0.046345881161330885]	[29.395660470201797, 26.34814288445564, 25.57532290297491]	[-0.9377742080353257, -0.5963940480360918, -2.260734317773383]	255	255	255
39447	1185.1874383068584	-3255.889536778704	0.48088170591830703	[17, 17, 17]	[0.2428767036737623, 0.7148896702612016, 0.041927200412840114]	[27.29321101983755, 26.365967891504376, 25.01329789937811]	[0.05126901007128346, -0.27079733956502844, -2.2642811536202245]	255	255	255
39633	2081.7702055625446	-1496.2021094839733	54.173264298130746	[17, 17, 17, 16]	[0.05299483462138294, 0.9147398207886721, 0.02864286090877602, 0.002310234693555826]	[29.85150893137752, 27.50195333522234, 24.832127612571263]	[0.0, 0.0, -0.6527344786555814]	255	255	255
39655	-3446.2948182942055	-985.9661557201198	57.648765585644256	[17, 17, 17]	[0.26874855560168615, 0.6162357543114879, 0.11498178978997964]	[30.446716792313197, 26.3614308387954, 27.576989377165425]	[-1.6039019381570938, 0.18186576074296307, 0.7738542417107314]	255	255	255
39657	-1896.118735289258	-970.0559981436159	43.95399624011203	[17, 17, 17]	[0.11296833863085459, 0.7899371462590745, 0.0962676716718806]	[25.26154898821939, 28.324031358767794, 32.973549304144555]	[-1.600415600487563, -0.004954972373438102, 1.902910277288535]	255	255	255
39664	2851.076356615253	-855.4093662416221	44.383291941303	[17, 17, 17]	[0.04892098543797996, 0.6109325417828321, 0.33956577686875095]	[26.476724737266075, 28.617970807501393, 30.17453509495221]	[0.0, 0.0, -2.61740452809377]	255	255	255
39782	-2981.6069397302517	750.1016188324465	17.16374712959015	[17, 17, 17]	[0.051315813141914, 0.8645941691561376, 0.0834593830372864]	[33.068798499478135, 26.374947345297734, 25.939502852800686]	[-0.9697030912815255, -0.05070000321023866, 0.13749503424017812]	255	255	255
39894	-3361.8826481769465	1831.2413663652505	51.52417691952108	[17, 17, 17, 16]	[0.1946203644542151, 0.7934177730682804, 0.0081766637754283, 0.0037217880156372326]	[24.825739615709054, 30.876625335576286, 28.95812037301512]	[0.0, 1.5707963267948966, 0.0]	255	255	255
39924	817.5103181429272	2141.7771579255686	31.562018811735285	[17, 17, 17]	[0.08543222920522005, 0.9068747873518386, 0.006843158725077115]	[26.70832651556413, 27.96033644562432, 29.19994835084038]	[-1.663118103312266, -0.02139744172608189, 1.8389143428055708]	255	255	255
39936	2012.1573109408105	2325.4256678300026	21.872318078563907	[17, 17, 17]	[0.004518713319691835, 0.9242148416013152, 0.07011856438945317]	[35.53199744131037, 30.469358823367283, 27.98227746776522]	[-0.795486586035385, -0.49148499921425093, -1.8196719734578568]	255	255	255
39947	-3013.668031457877	2435.6367665480266	58.127423307779665	[17, 17, 17]	[0.03157462149167816, 0.952368309935234, 0.01603218369623863]	[32.97530336943463, 27.74420448255163, 27.522868661887635]	[0.0, 0.0, -0.36145608416848496]	255	255	255
39965	-2171.8852654042566	2683.6924237024887	53.46750173327415	[17, 17, 16]	[0.24337817438550022, 0.7317072128657396, 0.024543114064427926]	[34.19316071932761, 26.22916250196693, 25.43639122463922]	[0.0, 0.0, -0.10032933203713709]	255	255	255
39966	2542.9308922712084	2687.1787802084946	34.180404437530356	[17, 17, 17, 11]	[0.21585741858447818, 0.4411803809212826, 0.33458013372398115, 0.007589853874585641]	[32.37564981194181, 26.94566620665534, 24.68810284653398]	[0.0, 0.0, -0.3485273023145366]	255	255	255
39992	-614.98468814025	3110.401321749324	41.338464300670765	[17, 17, 17]	[0.03923597772575121, 0.6599974182516061, 0.3006994005632318]	[26.10185736385496, 30.16343483577729, 30.263496413066186]	[0.0, 1.5707963267948966, 0.0]	255	255	255
40114	-3455.6649224278895	-3289.4630272797535	47.995552943958174	[17, 17, 17, 17, 17, 17]	[0.16636598923800014, 0.6336884735859314, 0.1472462179686801, 0.046553264793343166, 0.003052760502982018, 0.001700312667919459]	[29.23138558469017, 25.34078787338185, 26.447104826163987]	[1.5707963267948966, 0.0, -0.7757687968784788]	255	255	255
40121	3628.8614717819905	-3261.4779777581393	63.47438795065217	[17, 17, 17]	[0.16220476578137308, 0.43251907089356934, 0.4051640046436996]	[32.98341561727953, 28.526244505599937, 24.808577373262477]	[0.01233189665279035, -0.0275294967582115, 0.5899570634940098]	255	255	255
40213	1174.6516846256832	-2911.581444103611	19.231999013464616	[17, 17, 17]	[0.05915383327735457, 0.8428951319738731, 0.09726556895595649]	[29.474820037371305, 27.886816511913256, 27.621249490772783]	[-0.09334432955516746, 0.006286789774414657, 0.10389244554859313]	255	255	255
40264	1946.300562980015	-2423.0069829021136	31.45856259479207	[17, 17, 17]	[0.2711852415842951, 0.6618003229180036, 0.06627202928404222]	[25.41197647272262, 28.05438515612004, 27.7693020296673]	[-1.631225425360742, 0.6895477178635699, -1.4897420391523601]	255	255	255
40338	2032.4083852705294	-1793.390137875172	50.88650722563459	[17, 17, 17]	[0.07536938750672711, 0.8812931307985324, 0.04299970879599837]	[31.69386549636729, 25.083411487892846, 26.412970438527857]	[-0.8408776438444767, 0.07724267976252788, 1.4686505629306945]	255	255	255
40339	2261.1770537574407	-1793.1563721065313	20.416741857060472	[17, 17, 17, 17]	[0.1718092960797212, 0.0012804680529784583, 0.6894398439169775, 0.13746868819804237]	[27.006313079004684, 27.321051118981035, 27.082256926813695]	[1.5707963267948966, 0.0, -2.655597162549195]	255	255	255
40388	-63.560085005519795	-656.870244434976	57.047648414000676	[17, 17, 17, 17, 17, 17, 17]	[0.2987553093141128, 0.5654785698551622, 0.0922478990176771, 0.02211810556262448, 0.009279228340230945, 0.005914472189513251, 0.00523512389140312]	[24.699077219204547, 28.000572967018826, 27.214463082157614]	[0.0, 1.5707963267948966, 0.0]	255	255	255
40494	-1200.3860250377002	778.8295922818634	71.71029422205861	[17, 17, 17]	[0.08203322358714121, 0.7709079066665754, 0.14638125871072677]	[29.046812969475113, 28.065200040682708, 25.085173965210103]	[0.0, 0.0, -0.4179815420212798]	255	255	255
40643	-1055.4997866286171	3106.809351482968	55.05681647056919	[17, 17, 17, 16]	[0.01252370399236966, 0.9166577883810112, 0.06975055927477766, 0.00104725860906972]	[29.106105103592128, 29.984782805382338, 26.579154997418087]	[0.0, 0.0, 0.0]	255	255	255
40651	-594.2119801266886	3211.8811239028673	53.25497571812774	[17, 17, 17]	[0.09304548283248633, 0.8662188248478635, 0.040600148992609754]	[25.60415250768263, 31.195571717434674, 32.56436054301525]	[0.0, 1.5707963267948966, 0.0]	255	255	255
40694	-1873.7722088686144	-4113.459070307848	65.06239918460973	[17, 17]	[0.01239538308714247, 0.9874721706673026]	[36.231375100287394, 27.00868449193044, 28.559154408189432]	[0.0, 0.0, -0.5180679682888321]	255	255	255
40721	3908.5476815651496	-3675.420424536486	75.39955949469673	[17, 17, 17]	[0.31406409601427177, 0.6222732535293622, 0.0633637451962903]	[30.415753865290167, 27.70812169548708, 26.266462459923453]	[-0.25812660677300253, -0.22840480864824075, -2.842855663953764]	255	255	255
40728	-290.640655383595	-3575.2379850891525	37.85011270469728	[17, 17, 17, 17, 17, 17, 17]	[0.23260594863445802, 0.3697947272840648, 0.04850401213852891, 0.2334212468333264, 0.001950971117216401, 0.0024094073601670317, 0.11051698852377563]	[28.30186508480645, 25.650397344047203, 27.138950330945022]	[0.31990115529009927, -0.22146486936656756, -0.26549033508023856]	255	255	255
40903	-1951.1556415637729	-2256.9642929392558	30.12020734446243	[17, 17, 17, 17]	[0.3318497950692404, 0.39685565905864395, 0.2685844310077223, 0.0019996494316878305]	[33.02423144719053, 26.172002432372043, 25.843242892786826]	[-1.9496893475768176, 0.4346737139678175, 0.7845682143319638]	255	255	255
40944	-427.47131253893303	-1312.0117172206492	61.656408738899316	[17, 17, 17]	[0.3932204579443426, 0.4294240691642442, 0.17672392584558524]	[27.83758861908551, 30.703411729029288, 25.07202197229428]	[0.0, 0.0, 0.0]	255	255	255
40947	-742.9086444847308	-1251.6393455108719	55.85592745931801	[17, 17, 17]	[0.1280567052501687, 0.8663422442416145, 0.005336641721861705]	[28.684740223188516, 27.91057199998577, 25.698500324811924]	[0.0, 0.0, -0.1513692304329578]	255	255	255
41125	-1309.928736524348	1572.6270842111098	44.626648623606016	[17, 17, 17]	[0.034289610348228146, 0.9046477387487805, 0.060790249996491644]	[29.821618338154988, 26.43566749933988, 24.97218929010108]	[0.04149521098343998, -0.10254426406999094, 0.2236336934910927]	255	255	255
41139	-2978.366085548767	1851.9940729191458	51.66712939769123	[17, 17, 17]	[0.0876746571716724, 0.878686207518494, 0.03318205439444715]	[29.794524203773502, 27.142609404633333, 25.700772664830303]	[-0.03850523356511131, -0.023615014635950782, 1.0407037751342294]	255	255	255
41215	3049.8546075604004	3214.6279617657638	27.62326370027779	[17, 17, 17]	[0.09772064062042346, 0.8666333272801471, 0.03561609228113948]	[34.79633477707803, 28.02524903886027, 27.848499866460926]	[0.0, 1.5707963267948966, 0.0]	255	255	255
41293	2664.4455925039106	-3851.939698835328	57.682669715258456	[17, 17, 17]	[0.137952051471829, 0.7181600825090382, 0.14367886938088353]	[35.1726194228537, 25.827527932520823, 25.49377051061981]	[-0.17608135681043585, 0.1939785885932779, 1.3733336504309448]	255	255	255
41299	972.2614949798858	-3781.7601268506646	77.80364140314121	[17, 17, 20]	[0.42751496389027516, 0.5706485622923173, 0.0011212227888108117]	[26.96767255040438, 26.97897713716678, 25.46558806785965]	[0.0, 0.0, 0.0]	255	255	255
41301	795.4968786283694	-3709.0320592158623	74.90864202576306	[17, 17, 16, 17, 17]	[0.02312344811671912, 0.9056199768902888, 0.011786385512846895, 0.054485240497794366, 0.0030822809438889186]	[26.43923689533055, 25.53783206347018, 25.744524400406373]	[1.5707963267948966, 0.0, -0.6570589151107963]	255	255	255
41388	-1246.0889863691532	-2731.0033839263833	39.22775471004114	[17, 17, 17]	[0.02691923329048994, 0.8485941817343002, 0.12421190901974809]	[31.487070609554237, 25.75514618354883, 26.746428901910317]	[-0.6181130321208554, 0.3037305971152341, -2.5594036855245497]	255	255	255
41463	1017.2988812177514	-1074.1277734254622	58.98838867086481	[17, 17, 17]	[0.017822415565992126, 0.9785581589147401, 0.0033615070462942537]	[26.228923258724837, 27.052839391112062, 24.281246450744142]	[0.0, 0.0, -2.981186305966401]	255	255	255
41517	-2935.242264481848	-132.95211766914417	16.743574796591034	[17, 17, 17, 17, 17, 17, 17, 17]	[0.30548373033129805, 0.43176295449969504, 0.13677841269714144, 0.0019788031796077296, 0.002340143494844485, 0.0045998255797252315, 0.1152608227703862, 0.0015506666189067074]	[27.490088230699158, 25.86831498362618, 26.23390415887802]	[-0.28214323756714793, 0.2672787607328398, 0.9197029285559621]	255	255	255
41614	-2591.0320850543485	1493.719172556186	20.8904973601976	[17, 17, 17]	[0.030433580675955803, 0.9303953962181377, 0.038977074974056815]	[31.335596166256256, 27.870754404114344, 24.950415749203394]	[-0.04676327136256081, -0.5190343919809798, -2.4356667866661925]	255	255	255
41617	-3024.610265583117	1483.2548691477396	46.577810276854464	[17, 17, 17, 4, 16]	[0.1471336767893773, 0.728125085804763, 0.11977037964625642, 0.0010981461921531646, 0.0036462928508714213]	[25.711042363863342, 27.82928674346798, 27.96187843935227]	[-1.7593025358054337, -0.3700959513414846, 1.806476170084353]	255	255	255
41671	3265.37488973227	2650.250445930007	21.01469699440615	[17, 17, 17]	[0.015824813643827436, 0.9480611416858946, 0.03509358843654745]	[27.624539826300136, 27.065019748086563, 26.775502716738107]	[-0.399883312743737, 0.2306990470291568, -1.1741487328922773]	255	255	255
41761	-980.3204236937313	-3747.638410291296	13.993421211117635	[17, 17, 17, 17]	[0.3518227063861124, 0.3584307215525549, 0.28708636718902303, 0.001162487498410399]	[25.481960981657295, 26.580996421390367, 26.540382244129226]	[1.5707963267948966, 0.0, -2.586289955264788]	255	255	255
41781	1311.2691331305055	-3321.3140518710757	30.794412489247748	[17, 17, 17]	[0.0639126353909547, 0.9240582325295625, 0.011642289077900457]	[26.498268772680518, 27.447804240313847, 26.62864249659317]	[1.5707963267948966, 0.0, -2.790593306719243]	255	255	255
41848	2706.3028249759013	-2901.369133268499	30.26420914323009	[17, 17, 17]	[0.08499708828028106, 0.6894131352687264, 0.2253547156147087]	[28.247867856295088, 26.24999003797431, 29.170222825396046]	[1.5707963267948966, 0.0, -0.236658482676014]	255	255	255
41900	-1720.7735813497297	-1859.9392283285588	15.225102968463574	[17, 17, 17, 17, 17, 17, 17]	[0.3308575966218359, 0.0011720108816624683, 0.5164041526908495, 0.09170120152872427, 0.04351160469101677, 0.010657976025406407, 0.005365714733781782]	[29.110178568654895, 26.193663816623214, 25.861340165368944]	[-0.199394594335929, -0.06206065170483054, 1.2010404982758573]	255	255	255
41913	-1308.3764787466375	-1462.1195922583938	61.02811497152136	[17, 17, 17]	[0.4114763033493085, 0.4337423546210278, 0.15426536709494965]	[29.30308562017185, 25.997403758749797, 25.177473073996048]	[-0.11350330039287457, -0.11412722038421627, 0.2969188731122221]	255	255	255
41924	-348.72847691712786	-971.7416461250355	55.195599099209645	[17, 17, 17, 17]	[0.03250373307909173, 0.9498675381182465, 0.01419769075707758, 0.003003953990868453]	[30.632059446236042, 25.910963197810105, 27.481857044771516]	[0.0, 0.0, -0.5870088657243564]	255	255	255
42139	-2878.8733916452998	3148.427312665447	59.78772084100193	[17, 17, 17, 4, 16]	[0.23524014925176143, 0.6223304538888331, 0.0027338909906715427, 0.003574657437228075, 0.13558859459676678]	[29.087726061857232, 24.592907111550367, 28.689420167315017]	[1.5707963267948966, 0.0, -0.21882776286806666]	255	255	255
42178	-1396.84355640679	-4093.902388475601	59.83904517273204	[17, 17, 17]	[0.37598145089461554, 0.5656289473190659, 0.05820911109281993]	[26.119258072534784, 27.554268052443405, 25.82906429395677]	[1.5707963267948966, 0.0, -2.5199276771160175]	255	255	255
42188	142.41973684602226	-3909.605561738606	43.37501371619415	[17, 17, 17]	[0.32610073274752466, 0.6597373069500313, 0.014081795522194561]	[26.21054176593313, 27.193776951322747, 26.625840016781552]	[1.5707963267948966, 0.0, -2.6254696455317954]	255	255	255
42297	2377.7726716750626	-1199.5276346275464	49.261388368966735	[17, 17, 17, 17]	[0.26746224575641714, 0.0031908568610853924, 0.4544146318760965, 0.27490868170112803]	[32.49502497864721, 27.299168881593, 25.794501579309188]	[0.0, 0.0, -0.753470319256972]	255	255	255
42319	-410.2777325227512	-673.915221699544	32.838083524765906	[17, 17, 17, 17]	[0.272849393054775, 0.0011055729714269694, 0.5571873333348856, 0.16874525663760936]	[28.74174510085201, 27.375286922059146, 26.980772818168752]	[1.5707963267948966, 0.0, -0.5172273271890316]	255	255	255
42331	-1131.636809867071	-275.83443128828867	26.516414871165892	[17, 17, 17, 16]	[0.3647742170025339, 0.49913450222045763, 0.1274666871127632, 0.007064940345406425]	[29.394754707985435, 27.152416500442406, 24.92481872717962]	[-0.2496620352234971, 0.09495434193974156, -1.046410362001772]	255	255	255
42333	-2614.3074724977287	-188.41915571502523	66.72348560953516	[17, 17, 17]	[0.186863869827974, 0.7303944980471527, 0.0826787795736894]	[25.540405269017192, 31.537527556946714, 29.220785158961363]	[0.0, 1.5707963267948966, 0.0]	255	255	255
42419	-1732.7805259723773	1324.1456604523082	37.9613403925877	[17, 17, 17]	[0.49011633174733826, 0.5053580365832221, 0.004182317956697987]	[24.92086869078915, 26.50892204416655, 27.75350598831436]	[-1.8980135198329795, -0.5535957783306986, -0.9667046783865458]	255	255	255
42459	-1255.651004699189	2354.3247907420528	43.226526797804794	[17, 17, 17, 17, 17, 17]	[0.34346089550033915, 0.0013615443133589702, 0.509645075377451, 0.09651380453596423, 0.044975834588872804, 0.003928231052954627]	[25.87596478827924, 29.095229376579717, 27.744514527001286]	[0.0, 0.0, -2.399510545496113]	255	255	255
42485	-2233.3963446289345	3056.164201072789	56.69877854981128	[17, 17, 17]	[0.001495691979024845, 0.6502172838539317, 0.3479728980196364]	[30.05862210782, 25.7411850885719, 38.748388313703245]	[1.5707963267948966, 0.0, -0.6054670951475453]	255	255	255
42581	-3785.2350737398883	-2841.3495517379342	41.247218333185984	[17, 17, 17, 17, 17]	[0.32855648753603317, 0.5069671019750043, 0.054541858391584874, 0.07761710058377577, 0.030893229936347077]	[27.432522095262726, 25.965542246099282, 27.1087773223748]	[1.5707963267948966, 0.0, -0.648879839756611]	255	255	255
42585	-1737.5943785184645	-2556.4017864337757	67.54242878854866	[17, 17]	[0.04004457181745195, 0.9591264700506325]	[29.91636935882706, 27.832846572201465, 24.872231782285343]	[0.0, 0.0, -0.4106682657190477]	255	255	255
42765	2232.612240001255	2844.4900375125653	48.627819739349164	[17, 17, 17]	[0.012126174116380905, 0.8044848508680053, 0.1826721628284779]	[27.101176617398345, 30.19707246394062, 27.737192310138965]	[0.0, 0.0, 0.0]	255	255	255
42904	1827.861356455946	-1424.885846462847	51.72525305994138	[17, 17, 17]	[0.01826930391763866, 0.9400109389337105, 0.041710577837202896]	[31.02276339421887, 26.32776236601339, 27.347731937765715]	[0.0, 1.5707963267948966, 0.0]	255	255	255
43068	-3372.2722068130797	3233.104422532733	51.82889733896282	[17, 17, 17]	[0.010629868122414801, 0.6780310873464067, 0.31067430429510373]	[34.46987397973054, 25.5543571506485, 28.88412275691087]	[-1.4608486532818181, -0.026039629134889542, 0.7402160291538555]	255	255	255
43165	2234.0435621005076	-1149.2644699085881	39.492395572303295	[17, 17, 17]	[0.39039137173643523, 0.5383505994528398, 0.07085295731176862]	[27.32798458764445, 29.307124696925218, 26.322657509052593]	[0.0, 0.0, -2.7213244569692585]	255	255	255
43166	-1594.0660900354897	-1074.399342181548	40.641770741066736	[17, 17, 17]	[0.13388302037876712, 0.8564361251232028, 0.008599408141919857]	[30.046194032298196, 26.34062886494148, 27.253019292211484]	[0.0, 0.0, -0.5293375721927054]	255	255	255
43174	197.5278831485207	-854.3636218437027	54.240748557497184	[17, 17, 17]	[0.1998232427926857, 0.7303578909131045, 0.0694916594211719]	[29.378638455768463, 26.649053388624523, 24.958148950104757]	[-0.750787753836127, 0.3086362486428106, 2.6219361953960787]	255	255	255
43300	1274.5364352274196	3328.8217658299427	52.32732487803362	[17, 17, 17]	[0.06368802939659297, 0.917759428131123, 0.01849774890657476]	[26.93579990429029, 29.007291440471803, 26.645858150793543]	[1.5707963267948966, 0.0, -3.044499871047358]	255	255	255
43334	3681.8243626512244	-3660.9837695471642	52.04871104921297	[17, 17, 17]	[0.1713345325094702, 0.757025475121237, 0.07107478032074092]	[27.411718520529355, 31.625944993974045, 25.78907376360164]	[0.0, 0.0, -3.0891375104073635]	255	255	255
43383	-3177.9585887522135	-594.571192729727	69.95023101270003	[17, 17, 17, 17, 17, 17]	[0.41306529712948153, 0.48266507965756, 0.05063440700405205, 0.049902622720481085, 0.0012395802083046798, 0.001924279163970625]	[24.609919457928434, 27.284366355900787, 26.6005857939955]	[-1.7768730436533282, 0.0357038555832966, 1.615844033367087]	255	255	255
43485	-398.34915524906637	2910.538181670633	66.52891521168773	[17, 17, 4]	[0.9937883476841346, 0.003747727314298863, 0.001997342654477999]	[33.723201834720435, 31.55563234237877, 26.945661475266803]	[-0.1601884206216654, 0.03039804638788331, -1.1155600527124845]	255	255	255
43486	-3329.03394672337	2971.1135025864933	62.07435335369563	[17, 17, 17]	[0.22195909188665505, 0.6486637088760832, 0.12929921790226628]	[30.750980679777946, 24.35925293908584, 28.421628128428576]	[1.5707963267948966, 0.0, -0.2294059303105744]	255	255	255
43783	-818.3771415505535	3287.6105135656826	64.50517306783338	[17, 17, 17]	[0.17464897508649774, 0.7487203549733239, 0.07581958964962669]	[25.979233583545827, 28.486075723055094, 29.508695360439305]	[-1.5871377088016572, -0.05974078799270606, 1.9618439926450668]	255	255	255
43809	3888.0560130995905	-3568.303955511616	53.30712883007904	[17, 17, 17]	[0.29572938365044954, 0.6511938862411328, 0.05253816348141221]	[25.32186345150568, 27.692057271525307, 30.651684577827055]	[0.0, 1.5707963267948966, 0.0]	255	255	255
43821	-1579.526657147328	-2466.3604979790284	48.610673098319225	[17, 17, 17, 17]	[0.2394876702672658, 0.0024882853045917275, 0.516591358753444, 0.24139159911666777]	[27.988131447508586, 26.254277364767937, 26.895167526245864]	[-1.6230841687209696, 0.016654282368158378, 0.19587528141734903]	255	255	255
43846	-3113.392724597766	-335.5478578036473	66.29068989591646	[17, 17, 17]	[0.12318032871406108, 0.872906270112033, 0.0039077428996126]	[25.98700518929988, 26.352222432451015, 27.49872838781543]	[-2.2746742378468583, -0.09792132788229194, 2.572986632268356]	255	255	255
43934	643.5912611995386	-1181.9694532075823	54.12963203180867	[17, 17, 17]	[0.03444094411782421, 0.8770752644736306, 0.08823653190757742]	[28.145749629052247, 26.36306119007586, 28.118963248203436]	[1.5707963267948966, 0.0, -0.33491212473364873]	255	255	255
43937	-847.9171185530117	-755.515748420783	38.160628941164205	[17, 17, 17]	[0.2937153340836871, 0.6966957963676611, 0.009513049898817459]	[28.342603058237714, 26.19688316777541, 26.500929391810974]	[-0.1269009075911236, -0.11664452875544463, 0.3897961641439054]	255	255	255
43965	2622.1853452315295	1512.387780935228	36.571940519696724	[17, 17, 17]	[0.30029928471971357, 0.6938021168720682, 0.005573767509265318]	[25.78884421184282, 30.249522231298236, 27.215572072986195]	[0.0, 1.5707963267948966, 0.0]	255	255	255
43995	1462.8170344815494	-1254.0991380052037	47.622026114279336	[17, 17]	[0.9815801252519899, 0.01800947811282289]	[31.655681697245466, 27.129930512156275, 26.515640773242843]	[0.0, 0.0, 0.0]	255	255	255
44033	1976.4225966289928	-3933.315710194956	40.801397028399904	[17, 17, 17, 17]	[0.005898866423076366, 0.0027256438059673474, 0.5018165087331019, 0.48955796522491785]	[28.679812985122854, 33.63154350641788, 28.20565360086242]	[0.0, 0.0, -2.9361591887533995]	255	255	255
44094	2288.3734118929538	1027.852492869465	41.14746719508396	[17, 17, 17]	[0.09792684117749438, 0.8483260327402773, 0.05269423836137483]	[27.854389090301723, 26.265465172355267, 25.25581258374414]	[-1.5989659492030184, 0.1168452907848727, 1.1817607170431301]	255	255	255
10	2683.8199846652437	-1740.339341499247	-59.473022968713906	[17, 17, 17, 17, 17]	[0.006050705796772864, 0.009267116164338111, 0.96102048554098, 0.015422412846855084, 0.005905131057247396]	[27.63254745378027, 25.01686843092218, 26.464764177346037]	[-2.087382197032202, 0.15886697553368684, 0.12473705282988427]	255	255	255
20	2750.305902161756	-1645.3678581798663	-58.83916454713105	[17, 17, 17, 20, 17, 26]	[0.12739727566302242, 0.8049307431780837, 0.011139348949891695, 0.0015618648212723913, 0.04794763951518252, 0.006587965776578779]	[26.621062873340776, 25.651205694320343, 25.202786516613557]	[0.0, 0.0, 0.0]	255	255	255
66	3340.5928159646496	-1274.3409150853554	-59.90875243168571	[17, 17, 17, 17, 26]	[0.01787860176917985, 0.9352544707758002, 0.0215727271940395, 0.02298837225407602, 0.002262948814825161]	[28.319380323298383, 27.045769890401985, 25.70190156614354]	[0.0, 0.0, 0.0]	255	255	255
75	2950.5048177510603	-1223.0235077735215	-53.32940830260193	[17, 17, 17, 17, 26]	[0.015875625203787255, 0.7858485406743018, 0.013594470131653923, 0.04468880514537144, 0.13906228637112672]	[26.52976891446847, 26.150413499481886, 26.396425966265497]	[1.5707963267948966, 0.0, -0.08522687600682659]	255	255	255
92	3025.682741974953	-1043.1581977851456	-60.214438705090856	[17, 17, 17, 17, 17, 17, 26]	[0.008116302953865794, 0.12852112247762884, 0.0018345555712549002, 0.6214945851910183, 0.0031423434877371897, 0.14388329191903912, 0.09120613144551422]	[28.10849979548824, 26.23645088095578, 25.542666168232273]	[-0.3679958141434742, 0.050465322868462364, -0.17664235632204103]	255	255	255
315	-505.7825717531323	-3929.6726062499456	-59.363789451752	[17, 17, 17, 17, 20, 20, 17, 26]	[0.00821607618694246, 0.21131277635329238, 0.4531600307603211, 0.007276408836076323, 0.1561628891989031, 0.001413621861357593, 0.12384914147986038, 0.03778602814321056]	[27.171006355151462, 25.74667994627545, 26.188037744310527]	[-0.7992867364210979, 0.10224646405188857, 0.5938131177748555]	255	255	255
455	-185.59749370889267	-3531.6490918918853	-44.06182207263963	[17, 17, 17, 17, 26]	[0.011464503099529778, 0.9524596825832129, 0.016847639177929072, 0.01753501622919938, 0.0010675845032910914]	[27.152101612334143, 26.34636011099414, 27.519818909351123]	[1.5707963267948966, 0.0, -0.5604305631233562]	255	255	255
457	-711.403985332192	-3524.3102445101395	-56.798519884155546	[17, 17, 17, 17, 17, 17]	[0.008400388865316596, 0.0012625301683372762, 0.0034301468504495786, 0.9775254368078257, 0.005137265332118922, 0.0027795652849950995]	[26.450305903081215, 25.540980823248468, 27.223268478420998]	[1.5707963267948966, 0.0, -0.2773259354009739]	255	255	255
469	-1033.5109467745315	-3508.3429684294833	-60.16651068552363	[17, 17, 17, 17, 17]	[0.010087613131482525, 0.043196494738906785, 0.9391406825379459, 0.0040860047678267, 0.0025936024557414905]	[27.635581339239604, 26.148888212065756, 25.91336366364492]	[0.0, 0.0, -0.6251468916891905]	255	255	255
496	-1298.1083849822344	-3417.7068540753135	-59.65233740918945	[17, 17, 17, 17, 26]	[0.03336386776597476, 0.6540457232494252, 0.015412958267407505, 0.07164417084594249, 0.22490426022857443]	[27.16661232282466, 27.3648773032396, 26.365892677537705]	[0.0, 0.0, -2.9813494303221857]	255	255	255
520	3721.423716795823	-3337.1054175947256	-53.63339075837896	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.044491176080848995, 0.0010302377697538473, 0.05257288775147153, 0.001384182400878065, 0.38974526569285295, 0.01643039219591059, 0.034086193188808844, 0.20124588928866674, 0.25862948435283795]	[28.770546629303485, 25.8554773541656, 26.69643959485704]	[-1.5427233962162803, 0.10578921559194768, 0.11379273818724883]	255	255	255
